"id","ID Externe","Area_id /ID Externe","department_code","insee_code","zip_code","name","gps_lat","gps_lng","country_id"
60,"__cities_.fr.01064-01470-00060","__areas__.fr.001-001",1,1064,1470,"Briord","45.778150092593","5.4907816666667","base.fr"
61,"__cities_.fr.01065-01310-00061","__areas__.fr.001-001",1,1065,1310,"Buellas","46.211549901961","5.1450947058824","base.fr"
62,"__cities_.fr.01066-01510-00062","__areas__.fr.001-001",1,1066,1510,"La Burbanche","45.865082553191","5.5447043617021","base.fr"
63,"__cities_.fr.01067-01430-00063","__areas__.fr.001-001",1,1067,1430,"Ceignes","46.122940705882","5.4945695294118","base.fr"
64,"__cities_.fr.01068-01450-00064","__areas__.fr.001-001",1,1068,1450,"Cerdon","46.074992025316","5.4736034177215","base.fr"
65,"__cities_.fr.01069-01240-00065","__areas__.fr.001-001",1,1069,1240,"Certines","46.132655","5.2654237837838","base.fr"
66,"__cities_.fr.01071-01170-00066","__areas__.fr.001-001",1,1071,1170,"Cessy","46.317985422535","6.0760071126761","base.fr"
67,"__cities_.fr.01072-01250-00067","__areas__.fr.001-001",1,1072,1250,"Ceyzériat","46.18357864","5.31511216","base.fr"
68,"__cities_.fr.01073-01350-00068","__areas__.fr.001-001",1,1073,1350,"Ceyzérieu","45.832576010638","5.7116832446808","base.fr"
69,"__cities_.fr.01074-01320-00069","__areas__.fr.001-001",1,1074,1320,"Chalamont","46.002631512605","5.173992605042","base.fr"
70,"__cities_.fr.01075-01480-00070","__areas__.fr.001-001",1,1075,1480,"Chaleins","46.034425041322","4.7996861983471","base.fr"
71,"__cities_.fr.01076-01230-00071","__areas__.fr.001-001",1,1076,1230,"Chaley","45.956394255319","5.544979893617","base.fr"
72,"__cities_.fr.01077-01450-00072","__areas__.fr.001-001",1,1077,1450,"Challes-la-Montagne","46.123219901961","5.4601503921569","base.fr"
73,"__cities_.fr.01078-01630-00073","__areas__.fr.001-001",1,1078,1630,"Challex","46.175373944954","5.9679271559633","base.fr"
